Date_dec,Model,Prompter,Equities,Inflation,Labor,Consumer,Guidance
11,Gemini 3 Pro,Peter,2,-1,-2,2,2
11,GPT 5.1,Peter,4,1,-1,-2,3
11,Claude Opus 4.5,Peter,2,-1,-1,-2,0
11,Gemini 3 Pro,Gwen,1,1,-2,-2,3
11,GPT 5.1,Gwen,3,1,-2,1,1
11,Claude Opus 4.5,Gwen,2,-1,3,1,-2
11,Gemini 3 Pro,Andre,4,4,-3,0,5
11,GPT 5.1,Andre,3,1,-1,2,2
11,Claude Opus 4.5,Andre,2,-1,-1,-1,0
12,Gemini 3 Pro,Peter,-1,2,-3,-3,4
12,GPT 5.1,Peter,1,1,-2,-1,1
12,Claude Opus 4.5,Peter,1,-1,-1,-2,1
12,Gemini 3 Pro,Gwen,-1,-1,-3,-2,-1
12,GPT 5.1,Gwen,1,-2,-1,-1,-1
12,Claude Opus 4.5,Gwen,2,-2,-1,-2,1
12,Gemini 3 Pro,Andre,-2,-3,-3,-4,-1
12,GPT 5.1,Andre,-2,-1,-1,0,1
12,Claude Opus 4.5,Andre,1,-1,-1,-2,1
15,Gemini 3 Pro,Peter,-3,-2,-4,-3,-1
15,GPT 5.1,Peter,1,1,-1,-2,1
15,Claude Opus 4.5,Peter,1,-2,-2,-2,0
15,Gemini 3 Pro,Gwen,-2,-2,-2,-3,-1
15,GPT 5.1,Gwen,-2,0,-2,-1,0
15,Claude Opus 4.5,Gwen,-2,-1,-2,0,-1
15,Gemini 3 Pro,Andre,-2,3,-2,0,1
15,GPT 5.1,Andre,-1,-1,-1,-1,1
15,Claude Opus 4.5,Andre,-1,-1,-2,-2,0
16,Gemini 3 Pro,Peter,,,,,
16,GPT 5.1,Peter,,,,,
16,Claude Opus 4.5,Peter,,,,,
16,Gemini 3 Pro,Gwen,,,,,
16,GPT 5.1,Gwen,,,,,
16,Claude Opus 4.5,Gwen,,,,,
16,Gemini 3 Pro,Andre,,,,,
16,GPT 5.1,Andre,,,,,
16,Claude Opus 4.5,Andre,,,,,
